"main.id","hpq_mem.id","hpq_traincourse.id","traintype","traintype_o"
"11104651","1","0","14",""
"11104658","4","0","31",""
"11104659","0","0","1",""
"11122577","1","0","31",""
"11122578","0","0","41",""
"11122578","1","0","2",""
"11122578","1","1","14",""
"11122580","1","0","2",""
"11122580","1","1","19",""
"11122585","2","0","19",""
"11122589","0","0","We",""
"11133608","1","0","26",""
"11133608","2","0","23",""
"11135905","5","0","6",""
"11135906","0","0","1",""
"11135906","2","0","39",""
"11135909","6","0","30",""
"11135912","0","0","4",""
"11135912","0","1","10",""
"11135922","2","0","38",""
"11135923","2","0","7",""
"11135929","1","0","2",""
"11146015","1","0","20",""
"11146016","2","0","3",""
"11146016","2","1","20",""
"11146018","2","0","29",""
"11146018","2","1","32",""
"11146023","0","0","29",""
"11146023","0","1","29",""
"11152832","0","0","",""
"11152834","0","0","29",""
"11152839","1","0","14",""
"11152841","2","0","14",""
"11152842","0","0","32",""
"11159155","2","0","29",""
"11172880","0","0","29",""
"11176290","4","0","6",""
"11176290","5","0","38",""
"11176290","5","1","38",""
"11176290","5","2","38",""
"11176291","0","0","",""
"11176291","0","1","",""
"11176292","0","0","29",""
"11176304","0","0","27",""
"11176307","0","0","",""
"11176308","3","0","31",""
"11188890","1","0","2",""
"11188892","2","0","14",""
"11188900","2","0","29",""
"11188920","6","0","14",""
"11193171","0","0","99","Gardening"
"11193175","0","0","29",""
"11219842","1","0","2",""
"11225210","0","0","14",""
"11225215","3","0","",""
"11225218","6","0","1",""
"11290160","2","0","",""
"11656161","0","0","29",""
