"main.id","hpq_cct_mem.id","cct_mem_refno"
"10870620","2","3"
"10870624","0","2"
"10870624","1","3"
"10870624","2","4"
"10870627","0","2"
"10870627","1","3"
"10870628","0","2"
"10870628","1","3"
"10870628","2","4"
"10870630","0","2"
"10870630","1","3"
"10870630","2","4"
"10870635","0","2"
"10870635","1","3"
"10870635","2","4"
"10870636","0","2"
"10870636","1","3"
"10870636","2","4"
"10870636","3","5"
"10870638","0","2"
"10870638","1","3"
"10870638","2","5"
"10887366","0","2"
"10887366","1","28"
"10887370","0","5"
"10887374","0","3"
"10895489","0","7"
"10895489","1","8"
"10895489","2","6"
"10895496","0","3"
"10895496","1","4"
"10895496","2","6"
"10895499","0","1"
"10895499","1","6"
"10895505","0","2"
"10895505","1","3"
"10895507","0","2"
"10895509","0","2"
"10895509","1","4"
"10895514","0","4"
"10919079","0","7"
"10919086","0","2"
"10919086","1","3"
"10996280","0","2"
"10996280","1","3"
"10996280","2","4"
"10996281","0","2"
"10996281","1","3"
"10996281","2","4"
"10996286","0","5"
"10996286","1","1"
"11029156","0","2"
"11029156","1","5"
"11029156","2","4"
"11029161","0","2"
"11029161","1","3"
"11029161","2","4"
"11029161","3","5"
"11029166","0","2"
"11029166","1","3"
"11029166","2","4"
"11029166","3","5"
"11029169","0","2"
"11029169","1","6"
"11043103","0","2"
"11043107","0","3"
"11043107","1","1"
"11043109","0","5"
"11043111","0","3"
"11043111","1","4"
"11060024","0","2"
"11060024","1","6"
"11060024","2","7"
"11060024","3","8"
"11060028","0","2"
"11060028","1","3"
"11060032","0","2"
"11060032","1","3"
"11060032","2","4"
"11060037","0","5"
"11060037","1","2"
"11076033","0","2"
"11076033","1","4"
"11076033","2","5"
"11076041","0","2"
"11076041","1","3"
"11076041","2","4"
"11076041","3","5"
"11076049","0","6"
"11076049","1","8"
"11076049","2","7"
"11076053","0","2"
"11076053","1","6"
"11104637","0","3"
"11104637","1","5"
"11104641","0","4"
"11104643","0","2"
"11104643","1","3"
"11104646","0","4"
"11104646","1","5"
"11104653","0","3"
"11104653","1","4"
"11104654","0","3"
"11104655","0","4"
"11104655","1","5"
"11104660","0","3"
"11110053","0","4"
"11122576","0","4"
"11122576","1","5"
"11122579","0","3"
"11122579","1","4"
"11133609","0","2"
"11133609","1","5"
"11133610","0","3"
"11133610","1","4"
"11133610","2","5"
"11135919","0","2"
"11146015","0","2"
"11146015","1","3"
"11146015","2","4"
"11152808","0","1"
"11152808","1","3"
"11152839","0","1"
"11152839","1","2"
"11152839","2","3"
"11152839","3","4"
"11152844","0","2"
"11152844","1","3"
"11152844","2","4"
"11152844","3","1"
"11159044","0","5"
"11159044","1","4"
"11159047","0","3"
"11159047","1","4"
"11159047","2","5"
"11159054","0","3"
"11159054","1","4"
"11159085","0","4"
"11159085","1","5"
"11159087","0","2"
"11159097","0","3"
"11159156","0","3"
"11159156","1","4"
"11159156","2","5"
"11159156","3","6"
"11159156","4","7"
"11172878","0","5"
"11172878","1","6"
"11172878","2","7"
"11172884","0","5"
"11172891","0","3"
"11172899","0","7"
"11172899","1","57"
"11172899","2","58"
"11188894","0","2"
"11188897","0","2"
"11188897","1","3"
"11188897","2","4"
"11188897","3","5"
"11188904","0","2"
"11188914","0","7"
"11188914","1","8"
"11188914","2","6"
"11193165","0","3"
"11219842","0","2"
"11219848","0","2"
"11219850","0","1"
"11219852","0","1"
"11225216","0","2"
"11225216","1","3"
"11225216","2","4"
"11254491","0","3"
"11254491","1","4"
"11254495","0","4"
"11254495","1","5"
"11254512","0","2"
"11254512","1","3"
"11254512","2","4"
"11254512","3","6"
"11254525","0","6"
"11254525","1","8"
"11290138","0","3"
"11290152","0","3"
